F1 Score,Jaccard Score,Image Number
0.9411764705882353,0.8888888888888888,1
0.9205020920502092,0.8527131782945736,2
0.9372384937238495,0.8818897637795275,3
0.9141104294478528,0.8418079096045198,4
0.9367088607594937,0.8809523809523809,5
0.9729729729729729,0.9473684210526315,6
0.9487179487179486,0.9024390243902439,7
0.9592760180995475,0.9217391304347826,8
0.7307692307692308,0.5757575757575758,9
0.8749999999999999,0.7777777777777778,10
0.9259259259259259,0.8620689655172413,11
0.7999999999999999,0.6666666666666666,12
0.7096774193548387,0.55,13
0.6666666666666667,0.5,14
0.8,0.6666666666666666,15
0.8615384615384616,0.7567567567567568,16
0.5833333333333334,0.4117647058823529,17
0.9238578680203046,0.8584905660377359,18
0.9049773755656108,0.8264462809917356,19
0.9406779661016949,0.888,20
0.9638554216867471,0.9302325581395349,21
0.9176470588235294,0.8478260869565217,22
0.9158878504672896,0.8448275862068966,23
0.25,0.14285714285714285,24
0.7368421052631577,0.5833333333333334,25
0.5000000000000001,0.3333333333333333,26
0.6923076923076923,0.5294117647058824,27
0.5,0.3333333333333333,28
0.7999999999999999,0.6666666666666666,29
0.9326923076923077,0.8738738738738738,30
0.9577464788732395,0.918918918918919,31
0.9273743016759776,0.8645833333333334,32
0.9218106995884775,0.8549618320610687,33
0.9767441860465116,0.9545454545454546,34
0.9491525423728813,0.9032258064516129,35
0.8205128205128205,0.6956521739130435,36
0.9047619047619048,0.8260869565217391,37
0.7058823529411764,0.5454545454545454,38
0.9268292682926829,0.8636363636363636,39
0.6666666666666667,0.5,40
0.7222222222222222,0.5652173913043478,41
0.9461538461538462,0.8978102189781022,42
0.9537037037037037,0.911504424778761,43
0.9558232931726908,0.9153846153846154,44
0.9597069597069597,0.9225352112676056,45
0.8732394366197183,0.775,46
0.9547325102880658,0.9133858267716536,47
0.7826086956521738,0.6428571428571429,48
0.7999999999999999,0.6666666666666666,49
0.846153846153846,0.7333333333333333,50
0.7999999999999999,0.6666666666666666,51
0.5,0.3333333333333333,52
0.9333333333333333,0.875,53
0.933920704845815,0.8760330578512396,54
0.942857142857143,0.8918918918918919,55
0.9741379310344828,0.9495798319327731,56
0.9459459459459459,0.8974358974358975,57
0.9230769230769231,0.8571428571428571,58
0.9727891156462585,0.9470198675496688,59
0.2666666666666667,0.15384615384615385,60
0.6470588235294118,0.4782608695652174,61
0.6666666666666666,0.5,62
0.9333333333333333,0.875,63
0.8108108108108109,0.6818181818181818,64
0.8400000000000001,0.7241379310344828,65
0.944206008583691,0.8943089430894309,66
0.9348659003831418,0.8776978417266187,67
0.96,0.9230769230769231,68
0.9116279069767441,0.8376068376068376,69
0.9295774647887325,0.868421052631579,70
0.9244444444444445,0.859504132231405,71
