Wall time,Step,Value
1682408582.6533453,0,12.012571334838867
1682408651.5711975,1,9.08780574798584
1682408719.9498334,2,7.918023109436035
1682408788.34662,3,7.288729190826416
1682408857.1052525,4,6.864127159118652
1682408925.8657565,5,6.489126682281494
1682408994.6375442,6,6.125199794769287
1682409063.242717,7,5.802475929260254
1682409131.820299,8,5.46200704574585
1682409200.5421004,9,5.198014259338379
1682409269.4665039,10,4.983344078063965
1682409338.063094,11,4.7196946144104
1682409406.6080122,12,4.516477108001709
1682409475.3201942,13,4.2909040451049805
1682409544.1594143,14,4.071110725402832
1682409612.6229522,15,3.8747916221618652
1682409681.6743386,16,3.6996090412139893
1682409750.532068,17,3.5359134674072266
1682409819.0611746,18,3.3846967220306396
1682409887.8206115,19,3.239485263824463
1682409956.647676,20,3.101503610610962
1682410025.3447528,21,2.969665050506592
1682410093.654082,22,2.8476197719573975
1682410162.6374063,23,2.72623610496521
1682410231.1998806,24,2.622075080871582
1682410300.1049447,25,2.515937566757202
1682410368.6597905,26,2.4124948978424072
1682410436.938417,27,2.320728063583374
1682410506.097077,28,2.221980094909668
1682410574.8882122,29,2.1358816623687744
1682410643.6707368,30,2.0511820316314697
1682410712.0261672,31,1.971811294555664
1682410780.6209257,32,1.8991292715072632
1682410849.265706,33,1.8288297653198242
1682410918.3291278,34,1.7603938579559326
1682410986.8569539,35,1.695196509361267
1682411055.5230596,36,1.635807991027832
1682411124.4640632,37,1.5765451192855835
1682411193.0934465,38,1.522147536277771
1682411262.1201086,39,1.467071294784546
1682411331.0733242,40,1.4167340993881226
1682411399.540951,41,1.3696907758712769
1682411468.3235877,42,1.3222092390060425
1682411537.5373201,43,1.27785325050354
1682411606.4000468,44,1.2355000972747803
1682411675.3034086,45,1.194092035293579
1682411743.8261566,46,1.156045913696289
1682411812.404256,47,1.119762659072876
1682411881.5304937,48,1.0832183361053467
1682411950.508522,49,1.0506237745285034
1682412019.1402524,50,1.0173410177230835
1682412087.4225636,51,0.987183690071106
1682412155.6221035,52,0.9544036984443665
1682412224.2594154,53,0.9249780178070068
1682412292.6403058,54,0.9016791582107544
1682412361.093565,55,0.871974766254425
1682412430.0558264,56,0.8483248353004456
1682412498.6941988,57,0.822179913520813
1682412567.6856067,58,0.7966175675392151
1682412636.4967868,59,0.7731028199195862
1682412705.0862005,60,0.7517215609550476
1682412774.0572898,61,0.7305512428283691
1682412843.2487526,62,0.7112560272216797
1682412911.55624,63,0.6912458539009094
1682412980.108896,64,0.6722397804260254
1682413048.6446733,65,0.6536927223205566
1682413117.1515336,66,0.6346495151519775
1682413186.268701,67,0.617714524269104
1682413254.764502,68,0.6018074154853821
1682413324.0786967,69,0.5856260657310486
1682413393.144334,70,0.5692920088768005
1682413462.09666,71,0.5557907223701477
1682413531.0449102,72,0.5538550019264221
1682413600.2389388,73,0.5391236543655396
1682413669.0154686,74,0.5183097720146179
1682413738.1659956,75,0.5044683814048767
1682413806.5909486,76,0.49040067195892334
1682413875.0368783,77,0.47791579365730286
1682413943.8410637,78,0.46610307693481445
1682414012.6286063,79,0.4562230408191681
1682414081.1326828,80,0.4439795911312103
1682414149.7459362,81,0.43278369307518005
1682414218.4574482,82,0.4234056770801544
1682414286.9839835,83,0.4123397767543793
1682414355.4881828,84,0.4034244120121002
1682414424.246973,85,0.3957495391368866
1682414492.837903,86,0.3864116668701172
1682414561.1071978,87,0.37678349018096924
1682414629.8635952,88,0.3668900430202484
1682414698.4025037,89,0.35895195603370667
1682414766.8397162,90,0.35242170095443726
1682414835.218535,91,0.3440549075603485
1682414903.9814715,92,0.3348909020423889
1682414972.6902208,93,0.3271840214729309
1682415041.3798976,94,0.319658100605011
1682415109.901141,95,0.3152107000350952
1682415178.6086965,96,0.3073837161064148
1682415247.4610624,97,0.3002884089946747
1682415316.0620377,98,0.2939026951789856
1682415384.837025,99,0.287443071603775
