score_run1,image_run1,score_run2,image_run2,score_run3,image_run3,score_run4,image_run4,score_run5,image_run5
0.8934043970686208,23,0.6385729058945191,27,0.7480122324159021,1,0.4974772371397088,12,0.6494479495268138,11
0.6385729058945191,27,0.3512627090849459,28,0.6627600737424282,11,0.5603704928878598,13,0.5762600342150284,12
0.3512627090849459,28,0.8613797549967763,3,0.5686858656074147,2,0.6631428256799912,14,0.6423585790186479,14
0.27051349920592904,29,0.8423511093810822,32,0.4257568476693897,24,0.6116465318311389,17,0.6339066339066339,15
0.6637469586374696,31,0.8423180592991915,35,0.6908815739689746,26,0.7348515656771045,26,0.844993968636912,20
0.8481466719808689,32,0.6977136234327257,36,0.3167452418369129,28,0.3512627090849459,28,0.8705330990041007,21
0.8614367297865945,34,0.6950564710238845,37,0.2839677688246735,29,0.8446866485013623,32,0.6671136439825679,25
0.845821325648415,35,0.6127811177911379,40,0.8120300751879699,30,0.8568601583113457,35,0.6228617974477328,27
0.8359201773835919,43,0.8380898558914947,44,0.7279831680192366,33,0.6692134391223431,36,0.8186323092170467,30
0.8328129435140506,44,0.2588235294117647,48,0.6690823621584566,36,0.7552821610056164,47,0.656937225109956,36
0.2602026049204052,49,0.19614807798563422,49,0.7109129597730267,37,0.3392697244055318,48,0.3455197132616487,38
0.7864164432529044,5,0.12401505351052568,50,0.8733997155049789,45,0.2233908665947501,49,0.8375105604055195,44
0.1725668080070999,51,0.2605501944404436,52,0.5546134663341646,46,0.7575757575757577,5,0.6644327429392054,46
0.33187294633077763,52,0.11242787119190915,53,0.7494020728142439,47,0.16138787203565175,53,0.7681737588652483,5
0.8611967921036396,56,0.8608557844690967,54,0.8542615484710474,58,0.43324448752120176,60,0.3839087741526766,52
0.6985018726591761,57,0.8337205443079988,55,0.5182186234817814,61,0.6558891454965358,61,0.8739929100870126,54
0.43324448752120176,60,0.8610940381069453,56,0.5680600214362272,62,0.5642015005359057,62,0.8951008645533141,6
0.3440949802124557,63,0.8616393442622952,58,0.4444444444444445,63,0.7264671308436568,64,0.6587864460204885,61
0.8463855421686747,66,0.5960419091967404,62,0.32869410719573583,65,0.843675417661098,66,0.8437125748502994,66
0.8745716244002743,70,0.7054385964912281,64,0.8406658739595719,66,0.8950276243093923,7,0.883456128600134,69
0.8846398980242193,71,0.8485576923076924,66,0.8764119601328902,69,0.876100203114421,70,0.8962172647914647,7
0.8887256702166727,8,0.8683171869393613,68,0.8730650154798762,71,0.5675353882788728,9,0.8519169890960252,8
