Wall time,Step,Value
1682401676.1876116,0,11.380359649658203
1682401744.7117991,1,8.6867036819458
1682401813.4834118,2,7.658440589904785
1682401882.4294233,3,7.03764009475708
1682401951.001773,4,6.584549903869629
1682402020.1929073,5,6.209057331085205
1682402088.9092605,6,5.887016296386719
1682402157.654384,7,5.6000261306762695
1682402226.272987,8,5.321649074554443
1682402294.9173827,9,5.089305400848389
1682402364.0212762,10,4.855608940124512
1682402432.7202985,11,4.626849174499512
1682402501.8061554,12,4.4352312088012695
1682402569.9635856,13,4.230079650878906
1682402638.503518,14,4.051396369934082
1682402707.274147,15,3.874037027359009
1682402775.7000403,16,3.7110118865966797
1682402844.357424,17,3.5536160469055176
1682402913.2654982,18,3.4105732440948486
1682402981.7673156,19,3.2600462436676025
1682403050.3975437,20,3.1198198795318604
1682403118.7270305,21,2.9956982135772705
1682403187.4322357,22,2.8778603076934814
1682403256.164235,23,2.7560513019561768
1682403324.7728875,24,2.6469738483428955
1682403394.0408385,25,2.544121026992798
1682403462.700041,26,2.4420666694641113
1682403531.0520728,27,2.3517940044403076
1682403598.9998057,28,2.2605369091033936
1682403667.672964,29,2.1738312244415283
1682403736.289452,30,2.094712018966675
1682403805.1505287,31,2.0164706707000732
1682403873.4779027,32,1.9366381168365479
1682403941.9978511,33,1.8613884449005127
1682404010.1657438,34,1.7916232347488403
1682404079.0690932,35,1.7249982357025146
1682404147.7779138,36,1.6661961078643799
1682404216.3097408,37,1.6064528226852417
1682404284.6521325,38,1.5492552518844604
1682404353.7048311,39,1.4941880702972412
1682404422.3446894,40,1.4442344903945923
1682404490.6757104,41,1.3966675996780396
1682404559.3215115,42,1.3498624563217163
1682404627.783063,43,1.3050472736358643
1682404696.66263,44,1.2608137130737305
1682404765.1516242,45,1.2235491275787354
1682404833.4154294,46,1.1850180625915527
1682404901.8124723,47,1.1461583375930786
1682404970.5677347,48,1.1102526187896729
1682405039.242405,49,1.0724306106567383
1682405107.6439114,50,1.0381673574447632
1682405176.4601588,51,1.0071238279342651
1682405245.0005543,52,0.9780861735343933
1682405313.8701084,53,0.9461901783943176
1682405382.4102056,54,0.9173327088356018
1682405451.3329587,55,0.8900184631347656
1682405519.7361617,56,0.8626046776771545
1682405588.5005376,57,0.8393699526786804
1682405657.484831,58,0.8156964182853699
1682405726.223243,59,0.7911677956581116
1682405794.7964876,60,0.767244279384613
1682405863.153092,61,0.7470523118972778
1682405931.810662,62,0.7251152992248535
1682406000.7780385,63,0.705098569393158
1682406069.5643387,64,0.6859725713729858
1682406138.1897628,65,0.6650715470314026
1682406207.0672345,66,0.6454185843467712
1682406276.0916457,67,0.6264568567276001
1682406344.5455058,68,0.610278844833374
1682406413.4043152,69,0.5933946967124939
1682406482.383295,70,0.578630805015564
1682406550.988239,71,0.5668737888336182
1682406619.6427133,72,0.5469273924827576
1682406687.8313634,73,0.5332161784172058
1682406756.3121324,74,0.5201320052146912
1682406824.5685573,75,0.5072001814842224
1682406893.1929095,76,0.4930276870727539
1682406962.0874398,77,0.48011699318885803
1682407030.836729,78,0.4682133197784424
1682407099.5115888,79,0.4561082720756531
1682407168.1302986,80,0.44432055950164795
1682407236.7625961,81,0.43375319242477417
1682407305.3213103,82,0.42187076807022095
1682407373.716693,83,0.4122287333011627
1682407442.5796578,84,0.4028882682323456
1682407511.047426,85,0.3937687873840332
1682407579.6611602,86,0.38541150093078613
1682407648.1543713,87,0.37743011116981506
1682407716.3926315,88,0.36793792247772217
1682407784.5758882,89,0.357426255941391
1682407853.1518033,90,0.34954532980918884
1682407922.21804,91,0.341129869222641
1682407990.7026775,92,0.33257240056991577
1682408059.130107,93,0.3263625204563141
1682408127.6330745,94,0.31900981068611145
1682408196.2216103,95,0.3111777603626251
1682408265.0019467,96,0.30438172817230225
1682408334.2297673,97,0.2977393567562103
1682408402.7720716,98,0.29188477993011475
1682408471.4093242,99,0.2849409282207489
