Wall time,Step,Value
1682379388.4870422,0,12.20476245880127
1682379468.0150552,1,8.850500106811523
1682379548.3766236,2,7.750886917114258
1682379626.469578,3,7.224019527435303
1682379705.3236353,4,6.768544673919678
1682379785.8345342,5,6.428042411804199
1682379865.8447096,6,6.131017684936523
1682379945.6634269,7,5.78249979019165
1682380026.2464874,8,5.490530490875244
1682380106.1399643,9,5.258423805236816
1682380185.1489766,10,4.968985080718994
1682380265.7062585,11,4.725905895233154
1682380342.7144914,12,4.503236770629883
1682380417.5620146,13,4.290918827056885
1682380494.728066,14,4.098577976226807
1682380571.9100115,15,3.9100754261016846
1682380643.5913503,16,3.7361228466033936
1682380714.622685,17,3.577070713043213
1682380786.277575,18,3.4089465141296387
1682380857.317865,19,3.2544333934783936
1682380927.9752836,20,3.120178461074829
1682380998.966172,21,2.9840943813323975
1682381071.2189443,22,2.8588943481445312
1682381143.1728036,23,2.735399007797241
1682381213.8488052,24,2.6243016719818115
1682381284.478459,25,2.513805627822876
1682381354.992534,26,2.41097092628479
1682381425.5877185,27,2.3148012161254883
1682381496.6930707,28,2.222158670425415
1682381566.5003054,29,2.1350016593933105
1682381638.122262,30,2.0523929595947266
1682381708.9611213,31,1.973198652267456
1682381779.4201045,32,1.8991258144378662
1682381849.9061694,33,1.8296258449554443
1682381921.159931,34,1.762036919593811
1682381992.427048,35,1.7004246711730957
1682382062.9728656,36,1.6381136178970337
1682382134.195878,37,1.5805792808532715
1682382204.6200895,38,1.5239285230636597
1682382275.1356444,39,1.468565821647644
1682382345.7763278,40,1.4171850681304932
1682382418.779438,41,1.3689496517181396
1682382494.0332494,42,1.3249465227127075
1682382574.0791366,43,1.2806308269500732
1682382653.3370457,44,1.241358757019043
1682382733.7455502,45,1.199746012687683
1682382813.5397637,46,1.1586863994598389
1682382893.1839411,47,1.1196235418319702
1682382971.8359082,48,1.087677240371704
1682383044.863994,49,1.0508654117584229
1682383118.0963774,50,1.0186952352523804
1682383190.4208314,51,0.9871621131896973
1682383264.0553575,52,0.9568758010864258
1682383336.558699,53,0.9272366762161255
1682383409.0754943,54,0.8979834914207458
1682383481.2757056,55,0.8712298274040222
1682383553.151659,56,0.8455922603607178
1682383626.7343245,57,0.8203151822090149
1682383702.1425092,58,0.7962532043457031
1682383774.1670089,59,0.7740814089775085
1682383844.8778172,60,0.7524145841598511
1682383915.6882741,61,0.7326578497886658
1682383986.8288815,62,0.7115680575370789
1682384064.0513864,63,0.6932827830314636
1682384143.774646,64,0.6724042892456055
1682384223.7002506,65,0.6539741158485413
1682384302.1023698,66,0.635133683681488
1682384382.5609975,67,0.618705153465271
1682384461.50521,68,0.601595401763916
1682384541.7475405,69,0.5862453579902649
1682384621.3035648,70,0.5714983940124512
1682384700.7996106,71,0.5559202432632446
1682384780.4219239,72,0.5434161424636841
1682384859.738246,73,0.5317278504371643
1682384932.4740577,74,0.5172170400619507
1682385004.7088559,75,0.5022721290588379
1682385076.7375758,76,0.48969900608062744
1682385149.0742626,77,0.47697362303733826
1682385221.3412685,78,0.4665106534957886
1682385293.5659869,79,0.4567040205001831
1682385365.374749,80,0.444013774394989
1682385437.916928,81,0.4332467317581177
1682385509.913586,82,0.4225040376186371
1682385581.8233817,83,0.4131748676300049
1682385653.4603887,84,0.40370866656303406
1682385725.4498959,85,0.3958265781402588
1682385797.4742708,86,0.3857594430446625
1682385869.1151762,87,0.37577638030052185
1682385941.1641066,88,0.36902761459350586
1682386013.35861,89,0.35949674248695374
1682386085.693553,90,0.3533400893211365
1682386157.764206,91,0.34453245997428894
1682386229.7831578,92,0.3357054889202118
1682386302.1489885,93,0.32843008637428284
1682386373.9488974,94,0.32097673416137695
1682386445.7033165,95,0.31272006034851074
1682386517.5736978,96,0.3085635006427765
1682386589.7417386,97,0.3028079569339752
1682386661.7386475,98,0.2961214780807495
1682386733.6896386,99,0.28863829374313354
