F1 Score,Jaccard Score,Image Number
0.8076923076923077,0.6774193548387096,1
0.6543778801843317,0.4863013698630137,2
0.8181818181818183,0.6923076923076923,3
0.8056537102473498,0.6745562130177515,4
0.7074829931972789,0.5473684210526316,5
0.9302325581395349,0.8695652173913043,6
0.8636363636363636,0.76,7
0.9209302325581394,0.853448275862069,8
0.7368421052631579,0.5833333333333334,9
0.65,0.48148148148148145,10
0.8387096774193549,0.7222222222222222,11
0.7111111111111111,0.5517241379310345,12
0.9375,0.8823529411764706,13
0.7692307692307692,0.625,14
0.8181818181818181,0.6923076923076923,15
0.4444444444444444,0.2857142857142857,16
0.9333333333333333,0.875,17
0.7419354838709677,0.5897435897435898,18
0.8968609865470852,0.8130081300813008,19
0.9387755102040816,0.8846153846153846,20
0.9397590361445783,0.8863636363636364,21
0.9090909090909091,0.8333333333333334,22
0.927927927927928,0.865546218487395,23
0.19999999999999998,0.1111111111111111,24
0.7272727272727273,0.5714285714285714,25
0.7000000000000001,0.5384615384615384,26
0.8275862068965517,0.7058823529411765,27
0.2857142857142857,0.16666666666666666,28
0.42857142857142855,0.2727272727272727,29
0.9308755760368663,0.8706896551724138,30
0.6744186046511628,0.5087719298245614,31
0.9625668449197862,0.9278350515463918,32
0.8641975308641975,0.7608695652173914,33
0.9199999999999999,0.8518518518518519,34
0.8186046511627907,0.6929133858267716,35
0.7692307692307692,0.625,36
0.8205128205128205,0.6956521739130435,37
0.6,0.42857142857142855,38
0.6,0.42857142857142855,39
0.8750000000000001,0.7777777777777778,40
0.6923076923076923,0.5294117647058824,41
0.7027027027027027,0.5416666666666666,42
0.8910891089108911,0.8035714285714286,43
0.9660377358490565,0.9343065693430657,44
0.9343629343629344,0.8768115942028986,45
0.7669172932330827,0.6219512195121951,46
0.8805970149253731,0.7866666666666666,47
0.5161290322580645,0.34782608695652173,48
0.3733333333333333,0.22950819672131148,49
0.24657534246575347,0.140625,50
0.47619047619047616,0.3125,51
0.6875,0.5238095238095238,52
0.4210526315789473,0.26666666666666666,53
0.9655172413793104,0.9333333333333333,54
0.9511111111111112,0.9067796610169492,55
0.951219512195122,0.9069767441860465,56
0.7729083665338646,0.6298701298701299,57
0.9427312775330396,0.8916666666666667,58
0.9084745762711863,0.8322981366459627,59
0.4210526315789474,0.26666666666666666,60
0.45454545454545453,0.29411764705882354,61
0.823529411764706,0.7,62
0.36363636363636365,0.2222222222222222,63
0.8571428571428571,0.75,64
0.19999999999999998,0.1111111111111111,65
0.9344262295081968,0.8769230769230769,66
0.962962962962963,0.9285714285714286,67
0.9365853658536585,0.8807339449541285,68
0.9633027522935781,0.9292035398230089,69
0.9116279069767442,0.8376068376068376,70
0.9316239316239316,0.872,71
