RF_run1,filename_run1,RF_run2,filename_run2,RF_run3,filename_run3,RF_run4,filename_run4,RF_run5,filename_run5
0.9138495092693566,23.png,0.8421052631578948,27.png,0.771375464684015,1.png,0.27636363636363637,12.png,0.7574468085106384,11.png
0.8888888888888888,27.png,0.4166666666666667,28.png,0.7254901960784315,11.png,0.7706422018348622,13.png,0.32432432432432434,12.png
0.37606837606837606,28.png,0.8574537540805223,3.png,0.6610526315789474,2.png,0.6758620689655173,14.png,0.7530864197530865,14.png
0.7666666666666667,29.png,0.940279542566709,32.png,0.4390243902439024,24.png,0.8235294117647058,17.png,0.7956989247311829,15.png
0.6287425149700598,31.png,0.8625277161862528,35.png,0.85,26.png,0.8157894736842106,26.png,0.9497536945812808,20.png
0.9218950064020487,32.png,0.8513513513513513,36.png,0.4132231404958677,28.png,0.3728813559322034,28.png,0.9264150943396227,21.png
0.9036608863198458,34.png,0.8198757763975155,37.png,0.7419354838709677,29.png,0.9395465994962217,32.png,0.6440677966101694,25.png
0.8352402745995423,35.png,0.711864406779661,40.png,0.9185667752442996,30.png,0.8771929824561403,35.png,0.8376068376068376,27.png
0.8361858190709047,43.png,0.9301470588235293,44.png,0.8432203389830507,33.png,0.8333333333333334,36.png,0.930032292787944,30.png
0.9157088122605365,44.png,0.40476190476190477,48.png,0.8333333333333334,36.png,0.902738432483475,47.png,0.8493150684931506,36.png
0.36595744680851067,49.png,0.30769230769230765,49.png,0.728476821192053,37.png,0.4563758389261745,48.png,0.5,38.png
0.8531365313653136,5.png,0.2173913043478261,50.png,0.914179104477612,45.png,0.35807860262008734,49.png,0.9411764705882353,44.png
0.31390134529147984,51.png,0.19277108433734938,52.png,0.6516853932584268,46.png,0.8151447661469933,5.png,0.7687074829931974,46.png
0.23529411764705882,52.png,0.14285714285714285,53.png,0.9063670411985019,47.png,0.13259668508287292,53.png,0.8296296296296296,5.png
0.9553128103277061,56.png,0.9517948717948718,54.png,0.9567901234567902,58.png,0.5542168674698795,60.png,0.32857142857142857,52.png
0.724609375,57.png,0.9609544468546637,55.png,0.7962962962962963,61.png,0.8421052631578947,61.png,0.9525773195876288,54.png
0.5476190476190476,60.png,0.9671641791044776,56.png,0.8196721311475409,62.png,0.8064516129032259,62.png,0.9287696577243293,6.png
0.6851851851851851,63.png,0.9506172839506172,58.png,0.7037037037037037,63.png,0.8953488372093024,64.png,0.8035714285714286,61.png
0.9526570048309179,66.png,0.8,62.png,0.26153846153846155,65.png,0.9574468085106382,66.png,0.9532163742690059,66.png
0.9280177187153931,70.png,0.9152542372881357,64.png,0.9556840077071292,66.png,0.8522114347357066,7.png,0.9209401709401709,69.png
0.9550449550449551,71.png,0.9533073929961089,66.png,0.9251844046364596,69.png,0.9409190371991247,70.png,0.8777895855472901,7.png
0.9078341013824884,8.png,0.9295454545454546,68.png,0.9633300297324083,71.png,0.7465437788018435,9.png,0.9256756756756755,8.png
